nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas,Motivo
"Sta. María Cristina Baca Romo",12018990,5,stmacrbaro@@wass.com,stmacrbaro,hdZu58wmSDWET,"+56 2 1786 8670",3334,68883,Vacaciones,551750,2025/01/11,882000,6,"Mail Invalido!"
"Leonor Delafuente Villagómez",27279793,5,leonor1258@@edubus.cal,ledevi,1vlafWYl,"+56 2 4047 2141",6372,61843,Aniversario,551755,2026-02-07,-528000,8,"Mail Invalido!"
"Ángela Anaya Galván",,8,Oenanga@marmol.com,,peU49tFlODVp4E,"+56 9 8885 3516",,70383,"Salida con Amigos",551768,,280000,,"Campo vacio"
,,,,Ángelaaragón,,"+56 9 7523 5090",6476,70100,"Salida con Amigos",551789,2026-03-05,194000,2,"Campo vacio"
"Amalia Gallegos Cazares",17506146,0,Amaliacazares@tourket.ceele,amgaca,9Cd9fKEeG4,"+56 2 4604 0739",7215,61193,"Salida con Familia",551801,2025/11/04,648000,9,"Mail Invalido!"
"Silvia Garica Cavazos",8.661.617,3,silvia6519@wass.ceele,Silviacavazos,HfZ6JUDhG,+56-9-8828-5709,1007,63712,"Salida con Familia",551825,2025-04-09,990000,10,"Mail Invalido!"
"Sr. Alfredo Rosario Medrano",21447467,0,Sr.medrano@marmol.ceele,sralrome,VlUaTl93qp,+56-9-8092-5511,3502,69109,Aniversario,551845,2025-11-02,-1085000,7,"Mail Invalido!"
"Óscar Valle Zamora",9593992,9,O�scarzamora@@viajesanma.com,ósvaza,iMj4xDgQ,+56-2-8288-4287,5028,65922,Vacaciones,551869,2025-01-18,1690000,10,"Mail Invalido!"
"Sr. Julio Urías Villareal",,9,Sr.villareal@viajesanma.com,,G3ve7t0Z,,6097,,,551878,2026-06-23,-1304000,8,"Campo vacio"
"Andrés Roque Delatorre",28956674,0,andrOos5925@@outluc.com,andrés9052,AQITbFI0Dsb,"+56 2 4236 2620",7250,62801,"Salida con Amigos",551894,2025/04/02,-1099000,7,"Mail Invalido!"
"Bernardo Rosario Rosas",,3,bernardo7693@wass.com,beroro,,+56-2-6336-3697,830,,Vacaciones,551899,,,4,"Campo vacio"
"Bernardo Rosario Rosas",17108036,3,bernardo7693@wass.ceele,beroro,l5koD3IocdEHbG,"+56 2 6336 3697",830,70760,Vacaciones,551907,2025-04-28,-512000,4,"Mail Invalido!"
"Gustavo Rico Arreola",24471908,,Gustavoarreola@marmol.com,guriar,,,1004,68974,,551928,2025-04-09,399000,,"Campo vacio"
,9.829.467,,ClementefarOAas@tourket.com,,vpifiC2G,"+56 9 4139 7728",9831,,,551941,2025-01-23,-200000,4,"Campo vacio"
"Miguel Prieto Cervantes",597705,3,,miprce,n34gU2toUEp,,,69602,,551981,2026-04-27,,4,"Campo vacio"
"Miguel Prieto Cervantes",597705,3,miguel9763@edubus.ceele,miprce,n34gU2toUEp,"+56 2 0565 3994",3356,69602,Vacaciones,551982,2025-12-21,616000,4,"Mail Invalido!"
"Alejandro Narváez Peña",14531918,8,alnape@@wass.com,alnape,pswGs1gBtU,"+56 2 3577 0841",6011,61445,Aniversario,551984,2026-08-26,537000,3,"Mail Invalido!"
"Rosalia Polanco Mercado",16968636,0,rosalia376@marmol.ceele,rosalia2809,Nq848oh5ZKsV,+56-2-1736-7249,3658,67579,"Salida con Amigos",551993,2025-04-08,-243000,3,"Mail Invalido!"
"Daniel Ríos Cazares",,,,Danielcazares,D1r9m21WNM5SJW,"+56 9 0548 8494",4517,,,552008,2025-04-26,1593000,9,"Campo vacio"
"Amalia Aparicio Valverde",25922410,1,amalia9748@edubus.ceele,Amaliavalverde,eNmhicoCam1s,"+56 9 3886 1069",2564,69223,"Salida con Amigos",552025,2025/07/30,568000,2,"Mail Invalido!"
"Clemente Valle Colunga",8.535.134,6,clemente5723@edubus.ceele,clvaco,DZyn0K3m7q4GZO,"+56 2 1880 8773",3028,63445,"Salida con Amigos",552042,2025-01-09,193000,1,"Mail Invalido!"
"Josefina Crespo Estrada",29.429.097,4,josefina6595@@marmol.com,jocres,g3n6HORHVM665,+56-9-2198-9832,2433,71187,"Salida con Familia",552044,2025/07/20,470000,2,"Mail Invalido!"
"Claudia Montalvo Cerda",25487901,,clmoce@viajesanma.com,,,,9480,65351,"Salida con Familia",552063,2025-06-01,140000,,"Campo vacio"
"Gilberto Lomeli Barreto",27361460,,,Gilbertobarreto,W9F5j3yo,+56-2-8525-4337,,68375,,552068,2025-03-27,,6,"Campo vacio"
"Marcos Delrío Gaona",6163899,7,madega@@marmol.com,marcos301,YNbMI9F4,"+56 9 6547 1215",345,62697,"Cena de Trabajo",552074,2026-04-20,-176000,2,"Mail Invalido!"
"Silvia Hernández Ocampo",1.041.586,1,siheoc@@wass.com,siheoc,CMRbfJp9K,"+56 9 5372 3467",3368,70626,Aniversario,552095,2026/07/13,-108000,1,"Mail Invalido!"
"Sra. Federico Lemus Villa",,2,sra.9103@wass.com,sra.7501,,"+56 2 8739 1111",,,"Salida con Amigos",552126,,480000,6,"Campo vacio"
"Rubén Romero Serna",27023161,6,rubOon2246@@outluc.com,rubén1671,CUDa68V9tNmbOqZd,+56-2-4573-7703,5489,68533,"Salida con Familia",552127,2025/11/29,570000,6,"Mail Invalido!"
,27023161,6,,rubén1671,CUDa68V9tNmbOqZd,,5489,68533,"Salida con Familia",,2025-10-30,1014000,,"Campo vacio"
,3551305,,inOos4383@edubus.cal,,,"+56 9 7449 7151",9811,63646,Vacaciones,552133,2026-01-06,,2,"Campo vacio"
"Bernardo Casares Domínguez",15294433,0,BernardodomOAnguez@tourket.ceele,becado,6bvPWI21TH3d4,"+56 9 0321 1420",5231,62288,Vacaciones,552136,2025/10/18,2277000,9,"Mail Invalido!"
"Bernardo Casares Domínguez",15.294.433,0,BernardodomOAnguez@@tourket.com,becado,6bvPWI21TH3d4,+56-9-0321-1420,5231,62288,Vacaciones,552137,2025-03-23,1278000,9,"Mail Invalido!"
"Verónica Mesa Barrios",16531828,5,VerOInicabarrios@outluc.com,,,,6700,,"Salida con Familia",552167,,395000,5,"Campo vacio"
"Verónica Mesa Barrios",16531828,5,VerOInicabarrios@@outluc.com,Verónicabarrios,kOKRcUs9ZP630v,+56-9-8487-1230,6700,62616,"Salida con Familia",552168,2025/04/05,-625000,5,"Mail Invalido!"
"Benjamín Bonilla Llamas",7510903,2,benjamOAn4724@tourket.ceele,beboll,ZGKhMse274,"+56 2 8446 6048",3807,68349,Vacaciones,552173,2026-02-19,105000,3,"Mail Invalido!"
"Agustín Esquivel Ayala",2064808,2,agesay@edubus.ceele,agesay,auieaWZbmW3HT,"+56 9 9735 9063",4363,67519,Vacaciones,552195,2025-02-05,496000,4,"Mail Invalido!"
"Laura Caldera Griego",4478044,5,laura8642@@outluc.com,laura5649,J5IczTFxx,"+56 9 5137 4402",8984,68440,"Salida con Familia",552210,2025-02-28,1224000,9,"Mail Invalido!"
"Esteban Medina Gamez",10096957,2,Estebangamez@wass.ceele,esteban4210,pGwfB8a4sSFb,+56-2-1463-5278,3538,71216,Aniversario,552216,2025-08-01,970000,5,"Mail Invalido!"
"Esteban Medina Gamez",10096957,2,Estebangamez@wass.ceele,esteban4210,pGwfB8a4sSFb,"+56 2 1463 5278",3538,71216,Aniversario,552217,2025-08-30,415000,5,"Mail Invalido!"
"Clara Carrion Chacón",5283873,,ClarachacOIn@viajesanma.com,clara4704,Bx0yhNvHH,"+56 2 7666 8259",,68797,,552242,2025-06-21,,,"Campo vacio"
"Julio César Padrón Dueñas",23356263,7,JuliodueO�as@tourket.ceele,julio2376,Qmwef8k9Q,"+56 9 6371 3623",6371,72100,Aniversario,552244,2025-01-05,768000,6,"Mail Invalido!"
"Jorge Colunga Velázquez",,4,jocove@marmol.com,jorge7049,e9OUNzcFF,"+56 9 5898 3935",,68436,,552255,,,2,"Campo vacio"
"Ana Luisa Santiago Almaraz",27855026,5,ana5053@edubus.ceele,anlusaal,WQgL9SrRASkdmq,"+56 2 6210 9608",2487,69137,"Cena de Trabajo",552257,2025-02-03,736000,4,"Mail Invalido!"
"Lucia Luevano Canales",956719,4,lucia368@wass.ceele,Luciacanales,I5jysu0RWepq6Z,"+56 9 9393 3418",670,69209,"Cena de Trabajo",552262,2025-03-09,-324000,1,"Mail Invalido!"
"Andrea Olivares Oquendo",10058725,,,,A9yxxP1dM4WfA0JH,"+56 2 5433 5553",7962,64685,"Salida con Amigos",552277,2025-02-27,,,"Campo vacio"
"Gilberto Sisneros Apodaca",26.660.800,4,gilberto7472@viajesanma.ceele,gilberto8913,EKAcDfz3s4nku,"+56 9 5913 2589",2497,70469,Vacaciones,552308,2025/06/15,1884000,6,"Mail Invalido!"
"Soledad Casas Villalpando",5896581,2,socavi@wass.ceele,,xflMB0k4HP,"+56 2 9460 7491",9513,,Aniversario,,2025-11-22,,,"Campo vacio"
"Lucia Tamayo Guillen",,4,,lucia3117,,"+56 9 5350 1972",7696,,"Salida con Familia",552325,2025-02-08,1644000,,"Campo vacio"
,,9,olcoba@marmol.com,,CBRqFhz5i,"+56 9 8180 3678",,70628,"Salida con Amigos",552334,2025-01-04,885000,,"Campo vacio"
"Josefina Arreola Solano",29852349,3,Josefinasolano@marmol.ceele,joarso,FNVN9xo1wlrAd7sD,"+56 2 2478 1716",8702,68853,Vacaciones,552385,2026-05-18,493000,1,"Mail Invalido!"
"Claudio Irizarry Arguello",,4,clirar@viajesanma.com,,,"+56 9 7740 5750",3550,70267,,552394,2025-05-03,,3,"Campo vacio"
"Elena Carbajal Soliz",20386108,7,elena795@@wass.com,Elenasoliz,5t9eN2iSv,"+56 2 2915 4316",598,65513,"Salida con Amigos",552403,2025-02-06,313000,1,"Mail Invalido!"
"Sra. Daniela Santacruz Vigil",647019,0,Sra.vigil@@outluc.com,srdasavi,vx7OCnQr80,"+56 2 0967 9518",236,71020,Aniversario,552411,2025/01/10,1740000,10,"Mail Invalido!"
"Sra. Lorena Delrío León",594013,3,Sra.leOIn@@outluc.com,Sra.león,G3o3fgayC2,"+56 9 1754 0976",1130,67237,"Salida con Familia",552428,2025-05-26,765000,9,"Mail Invalido!"
"Barbara Pabón Reséndez",12.395.323,1,barbara2192@wass.ceele,Barbarareséndez,Nq0AAH4M,"+56 2 6332 6194",3080,71809,Aniversario,552440,2025-06-06,540000,9,"Mail Invalido!"
"Marisol Casillas Cerda",,,marisol8112@marmol.com,macace,,"+56 2 9016 6814",,72120,,552459,2025-01-19,1341000,9,"Campo vacio"
"Luis Sosa Ferrer",21048359,4,luis9422@marmol.ceele,Luisferrer,dfsJjlX1,"+56 2 4512 1993",2859,70177,Aniversario,552486,2025-04-15,-530000,5,"Mail Invalido!"
"Luis Sosa Ferrer",21048359,4,luis9422@marmol.ceele,Luisferrer,dfsJjlX1,"+56 2 4512 1993",2859,70177,Aniversario,552494,2025/05/08,405000,5,"Mail Invalido!"
"Eloisa Trejo Gamez",20786006,9,Eloisagamez@viajesanma.ceele,eltrga,vqP13svGpaEnk1,"+56 2 6143 5280",1637,64198,Aniversario,552506,2025-02-26,270000,10,"Mail Invalido!"
"Sr. Marco Antonio Valentín Calderón",,7,,,KmoI9N3GXlhkE2,"+56 2 5097 5705",5438,,"Salida con Amigos",552523,,1455000,3,"Campo vacio"
,4817761,,racaro@@outluc.com,racaro,,"+56 9 0605 4714",4757,71496,"Salida con Familia",,2025-02-17,,7,"Campo vacio"
"Sra. Arturo Caldera Pacheco",10.292.158,5,Sra.pacheco@@tourket.com,sra.2278,aZWbWph9,"+56 9 6633 8008",,,"Cena de Trabajo",,2025-04-21,,,"Mail Invalido!"
"Sra. Pilar Rosales Valenzuela",17382759,8,Sra.valenzuela@@tourket.com,srpirova,u0vjpSAHQCJgjmKK,"+56 2 0629 9621",317,63218,"Salida con Familia",552576,2026-03-10,52000,1,"Mail Invalido!"
"Sra. Pilar Rosales Valenzuela",,,Sra.valenzuela@tourket.ceele,srpirova,u0vjpSAHQCJgjmKK,"+56 2 0629 9621",317,,,552582,,97000,1,"Campo vacio"
"Sancho Piña Brito",19393479,0,sancho4599@@viajesanma.com,sapibr,FcLImU429niLe8Ho,"+56 2 3889 1965",1159,71046,Vacaciones,552587,2025-06-24,2807000,7,"Mail Invalido!"
"Sancho Piña Brito",19393479,0,sancho4599@viajesanma.ceele,sapibr,FcLImU429niLe8Ho,"+56 2 3889 1965",1159,71046,Vacaciones,552589,2025-04-26,-1897000,7,"Mail Invalido!"
"Sta. José María Arevalo Aponte",13328847,3,Sta.aponte@tourket.ceele,Sta.aponte,78SkeEToTwb6sY,"+56 2 3258 5315",5943,64766,"Salida con Amigos",552606,2025-04-07,-79000,1,"Mail Invalido!"
"Claudia Lozada Yáñez",8005200,6,clloyOe@tourket.ceele,Claudiayáñez,QHdoSDorj3,"+56 9 9379 3069",9330,72077,"Cena de Trabajo",552611,2025/10/28,240000,1,"Mail Invalido!"
"Claudia Lozada Yáñez",8005200,6,clloyOe@tourket.ceele,Claudiayáñez,QHdoSDorj3,"+56 9 9379 3069",9330,72077,"Cena de Trabajo",552612,2026/04/03,-147000,1,"Mail Invalido!"
"Felipe Cantú Fernández",29.290.081,,,fecafe,,"+56 9 5919 4468",,65818,"Cena de Trabajo",552621,2025-03-25,2465000,,"Campo vacio"
"Felipe Cantú Fernández",29290081,3,fecafe@@marmol.com,fecafe,umzka7MSUH9BE,"+56 9 5919 4468",5033,65818,"Cena de Trabajo",552625,2025-05-14,215000,5,"Mail Invalido!"
"César Guzmán Blanco",5765019,2,COosarblanco@wass.ceele,cégubl,5MN4Lh3e,"+56 2 1654 9655",2795,69036,"Salida con Familia",552698,2025-03-25,1194000,6,"Mail Invalido!"
"Bernardo Madrigal Muñoz",6.479.865,0,,Bernardomuñoz,eRU50wwKSNjAtk,"+56 9 2347 5917",,67202,,552708,,2848000,,"Campo vacio"
"Laura Arias Preciado",14927907,5,laarpr@@wass.com,laarpr,aFd8pE5HICghs,"+56 2 7804 7009",6073,70137,Vacaciones,552714,2026/01/30,314000,2,"Mail Invalido!"
,5434339,,JaimealcOentar@tourket.com,javial,,,2772,66677,"Salida con Familia",552728,2025/10/19,-2208000,,"Campo vacio"
"Sra. Gabriel Berríos Paz",,,srgabepa@tourket.com,sra.9287,,"+56 9 9706 8548",6584,,"Salida con Amigos",552731,2025/07/04,,4,"Campo vacio"
,10959287,0,grmepa@tourket.com,,mYwKh1xfbVQga6,"+56 9 7880 5710",151,63179,,552770,,,8,"Campo vacio"
"Rosa Zarate Henríquez",544962,6,rozahe@wass.ceele,rozahe,384lq8JLpo,"+56 9 5575 2218",5239,65308,"Cena de Trabajo",552785,2025-04-02,1610000,10,"Mail Invalido!"
"Sr. Adriana Perales Esquibel",26459627,0,sradpees@tourket.ceele,sr.2698,rNLeOA4aE,"+56 2 4023 7760",2492,62087,"Cena de Trabajo",552802,2025-08-26,334000,2,"Mail Invalido!"
"Raquel Tovar Centeno",11504115,0,ratoce@outluc.ceele,Raquelcenteno,VWh4Bkf3Ym,+56-9-6346-4419,2494,70217,"Salida con Familia",552848,2025-10-22,656000,8,"Mail Invalido!"
"Anita Quiñónez Solís",16505008,8,anquso@tourket.ceele,anita1654,XF6nGBNKy,"+56 9 2587 0206",9204,66187,"Cena de Trabajo",552880,2025-02-10,210000,2,"Mail Invalido!"
"Anita Quiñónez Solís",16505008,8,anquso@tourket.ceele,anita1654,XF6nGBNKy,"+56 9 2587 0206",9204,66187,"Cena de Trabajo",552889,2025-02-15,314000,2,"Mail Invalido!"
"Inés Estévez Frías",206123,6,inesfr@@wass.com,inesfr,y3Q7uDgresT6ovN1,"+56 2 5816 5416",5993,64187,Aniversario,552891,2026-05-09,-1464000,8,"Mail Invalido!"
"María Mesa Cervantes",28175977,9,marOAa3224@viajesanma.ceele,Maríacervantes,8vvnK7177c,+56-2-9457-3964,3287,70799,"Salida con Familia",552896,2025-02-01,303000,3,"Mail Invalido!"
"Barbara Hurtado Escalante",29.718.696,5,bahues@@marmol.com,Barbaraescalante,CVVHPovXjgwaP2,"+56 2 4252 9634",6105,68593,Aniversario,552958,2025-01-29,1520000,10,"Mail Invalido!"
"María del Carmen Valdés de Anda",1968568,,,madecavadean,,+56-2-5123-3030,5809,64234,"Cena de Trabajo",552967,,,2,"Campo vacio"
"Ignacio Rojo Bustos",27148478,0,,,pR32O5plqEcxYXod,"+56 9 5557 6359",4807,65653,,552987,,870000,,"Campo vacio"
"Blanca Rojo Soria",21111723,0,blanca8628@outluc.ceele,Blancasoria,xLe6Ak4bUoGv4,"+56 2 6662 9030",8042,61933,"Salida con Familia",552999,2025-09-23,171000,9,"Mail Invalido!"
"Fernando Ávalos Dueñas",7.635.892,3,feOevdu@@tourket.com,Fernandodueñas,1JMwmNlIXMqLWI,"+56 9 5391 6270",9534,64422,"Cena de Trabajo",553001,2025-01-10,-2180000,10,"Mail Invalido!"
,7635892,,feOevdu@tourket.ceele,,1JMwmNlIXMqLWI,,9534,64422,"Cena de Trabajo",553003,2025/11/03,410000,,"Campo vacio"
"Tomás Gastélum Aguilera",24.506.680,5,TomOesaguilera@@marmol.com,togaag,oB8jRbpiA9x,"+56 9 0735 2438",9911,67295,Aniversario,553017,2025-09-17,468000,2,"Mail Invalido!"
"Jorge Luis Villalobos Otero",,4,,jorge3291,,,,68319,Vacaciones,553063,2025-09-13,151000,1,"Campo vacio"
,4729053,,Sta.calderOIn@tourket.com,stenpica,jCWoecqZt5,,4387,,"Salida con Amigos",553075,2025-01-21,2045000,,"Campo vacio"
"Esteban Macías Murillo",15770379,0,esteban4783@edubus.ceele,esmamu,Z0eB3DLowCbQQaVX,"+56 9 8452 5902",9848,62648,"Salida con Amigos",553098,2025/01/04,1464000,6,"Mail Invalido!"
,1699603,3,raquel4508@edubus.cal,Raquelprieto,,"+56 2 9642 0585",7679,65590,,553100,2025/06/02,,,"Campo vacio"
,20388075,,ana1534@outluc.com,ana2356,FdEdmV7npkLz,,,,Aniversario,553103,2025-09-21,1700000,5,"Campo vacio"
"Sra. Diana Escalante Martínez",25428160,3,srdiesma@marmol.ceele,Sra.martínez,gp35upg7jBPZy,"+56 2 9229 0193",694,70814,"Salida con Familia",553105,2025/09/22,150000,10,"Mail Invalido!"
,24088676,6,srlosial@@edubus.cal,,,,1373,71609,"Salida con Amigos",553106,2025-11-02,1458000,,"Campo vacio"
,,6,,srlosial,6IkY4C6aVw7T,"+56 9 1041 5964",1373,71609,"Salida con Amigos",,,1764000,9,"Campo vacio"
"Horacio Segura Holguín",,2,horacio3299@edubus.cal,Horacioholguín,,"+56 2 1456 1061",6316,,"Cena de Trabajo",,2025/06/14,,7,"Campo vacio"
"Gilberto Sisneros Apodaca",26660800,4,gilberto7472@viajesanma.ceele,gilberto8913,EKAcDfz3s4nku,"+56 9 5913 2589",2497,68695,"Salida con Amigos",553178,2025-04-30,-768000,8,"Mail Invalido!"
,29291674,4,cOomemo@viajesanma.ceele,Césarmoya,,,7836,72178,,553196,2025/04/16,1344000,,"Campo vacio"
"Rubén Manzanares Nava",29.309.712,7,rumana@edubus.ceele,,yDlXpiyS7e,"+56 2 9491 6037",1229,63875,,553201,,,,"Campo vacio"
"Mariana Polanco Calderón",3.353.996,7,mapoca@@tourket.com,Marianacalderón,02GYZlEU318Z,"+56 2 5577 1862",3356,63263,"Salida con Familia",553215,2025-01-13,1190000,7,"Mail Invalido!"
"Federico Alvarado Delacrúz",7.471.807,8,FedericodelacrOUz@edubus.ceele,,C76brGp2,,3919,,,553225,,496000,4,"Campo vacio"
,16808276,2,AdelachOevez@edubus.cal,adalch,BmUdwX5WjO,,9272,65752,"Salida con Familia",553226,,,,"Campo vacio"
"Ricardo Naranjo Delacrúz",21478187,5,RicardodelacrOUz@edubus.ceele,rinade,74dk7hbDSZxzjV3,+56-2-1545-7636,8141,61312,Vacaciones,553247,2025-07-16,-456000,8,"Mail Invalido!"
"Bernardo Duarte Rodríguez",11101539,2,bernardo8552@@marmol.com,beduro,X4YHgRmds2E1Z,"+56 2 8111 5762",422,67372,Aniversario,553257,2025-07-14,2590000,7,"Mail Invalido!"
"Raúl Santana Ávila",26654359,0,raOUl3298@@viajesanma.com,rasaáv,h51mp9ThFKxNZ,"+56 9 1222 0324",6300,61773,Aniversario,553279,2025-11-01,-412000,1,"Mail Invalido!"
"Sta. José María Arevalo Aponte",13328847,,,Sta.aponte,78SkeEToTwb6sY,,5943,,,553288,2025/03/24,714000,7,"Campo vacio"
"Patricio Madrid Miranda",20927364,,patricio2411@wass.ceele,patricio2656,,,,63372,Vacaciones,553297,,765000,9,"Campo vacio"
"Patricio Madrid Miranda",20927364,0,patricio2411@@wass.com,patricio2656,YBb9UbIr0eTdXjgl,"+56 2 3059 6457",5768,63372,Vacaciones,553304,2025-02-21,981000,9,"Mail Invalido!"
"Lorena Nevárez Jasso",24997418,8,loneja@edubus.ceele,loneja,ApxKc7Ux838,"+56 9 3648 7761",5837,61947,"Cena de Trabajo",553314,2026-06-26,213000,3,"Mail Invalido!"
"Caridad Maldonado Saldaña",17765973,8,camasa@@edubus.cal,camasa,mGE0GbsJOTSQ4,+56-2-5676-4982,1996,67444,"Salida con Amigos",553337,2025-09-24,80000,2,"Mail Invalido!"
"Mónica Lucero Robledo",20927384,5,mOIluro@@outluc.com,móluro,Hb7ZbnzqjKq9P,"+56 2 3910 9721",9781,63664,"Salida con Familia",553338,2025-02-19,-575000,5,"Mail Invalido!"
"Mónica Lucero Robledo",20927384,5,mOIluro@outluc.ceele,móluro,Hb7ZbnzqjKq9P,"+56 2 3910 9721",9781,63664,"Salida con Familia",553339,2025-02-28,800000,5,"Mail Invalido!"
"Pilar Suárez de Jesús",6770966,7,pilar3633@tourket.ceele,pilar4928,3Vlr87KxOc,"+56 2 9841 3258",3940,65966,Aniversario,553341,2025/07/30,1380000,10,"Mail Invalido!"
"Jerónimo Soliz Téllez",8760302,4,jerOInimo2369@edubus.ceele,Jerónimotéllez,SfkA8tGZngG,"+56 2 7463 3409",9537,69339,"Cena de Trabajo",553352,2025-04-03,432000,3,"Mail Invalido!"
"Daniel Araña Villa",,,,Danielvilla,nUmShd1CDoyX,"+56 9 5872 6330",,61787,"Salida con Amigos",553366,2025/05/21,,9,"Campo vacio"
"Sra. Teresa Olivárez Sanabria",22236505,8,Sra.sanabria@viajesanma.ceele,Sra.sanabria,Y9foNq16DEnEh58l,"+56 9 3049 9862",3249,70801,"Salida con Familia",553375,2025-12-02,224000,4,"Mail Invalido!"
"Sr. Daniela Magaña Candelaria",4.272.403,3,Sr.candelaria@marmol.ceele,srdamaca,eimpYdCySP5cRt5,"+56 9 3267 2235",5838,68688,"Cena de Trabajo",553420,2025-01-28,-1026000,6,"Mail Invalido!"
,6687756,6,sra.9542@outluc.com,,voNNfOX9puM9Xx,,8433,63272,"Salida con Amigos",553458,,,6,"Campo vacio"
"Vicente Gaitán Fajardo",20467753,0,Vicentefajardo@outluc.ceele,Vicentefajardo,tcukTtp1,+56-2-4722-4397,3571,70427,"Cena de Trabajo",553480,2026-07-28,-210000,2,"Mail Invalido!"
"Vicente Gaitán Fajardo",20.467.753,0,Vicentefajardo@@outluc.com,Vicentefajardo,tcukTtp1,"+56 2 4722 4397",3571,70427,"Cena de Trabajo",553481,2025-10-14,-336000,2,"Mail Invalido!"
"Sofia Covarrubias Chavarría",23343187,7,SofiachavarrOAa@viajesanma.ceele,Sofiachavarría,rIGY8ysCwMky,"+56 2 0588 6540",910,69804,"Cena de Trabajo",553482,2025-05-12,1295000,7,"Mail Invalido!"
,23343187,7,SofiachavarrOAa@viajesanma.com,,rIGY8ysCwMky,"+56 2 0588 6540",,69804,"Cena de Trabajo",553488,,,7,"Campo vacio"
"Alejandro Camarillo Verdugo",9294109,4,,alcave,cCgoFEcM8O,"+56 9 1101 3514",,68564,,553519,,,9,"Campo vacio"
"Leticia Valencia Loera",18526352,5,leticia5541@@wass.com,levalo,u8FN6x79u,"+56 2 5072 2989",6514,62044,Aniversario,553529,2025/02/15,1800000,9,"Mail Invalido!"
"Sra. Ramona Becerra Rodrígez",29680035,0,Sra.rodrOAgez@wass.ceele,sra.4252,kZQy4yZ26C4,"+56 9 2123 4335",5536,66648,"Cena de Trabajo",553569,2025-12-13,98000,1,"Mail Invalido!"
"Ana Corrales Reyna",17936354,2,ancore@viajesanma.ceele,ancore,i2ZrHEpIIHNdmDvp,+56-9-5982-0312,3121,68068,"Salida con Amigos",553584,2025-01-12,1320000,10,"Mail Invalido!"
,,7,vOAalma@wass.ceele,Víctormaya,7Rmac93dAs,"+56 2 6929 0240",9963,,Vacaciones,,,695000,5,"Campo vacio"
"Víctor Alaniz Maya",5252566,7,vOAalma@@wass.com,Víctormaya,7Rmac93dAs,"+56 2 6929 0240",9963,71343,Vacaciones,553591,2025/04/22,2320000,5,"Mail Invalido!"
"Manuela Perea Delao",4886296,,Manueladelao@viajesanma.com,,qunKuvfv3oL7FtWZ,"+56 2 5761 8955",6602,,Vacaciones,,2025-02-08,875000,,"Campo vacio"
,,8,,,U8AwHrjysxZ8ls,"+56 9 0457 0217",2529,71905,"Cena de Trabajo",553609,,710000,10,"Campo vacio"
"Gustavo Rangel Roybal",13870425,4,gustavo821@@outluc.com,guraro,wsjPR3QAQcG5Rs8J,+56-2-3252-1589,2698,69454,"Cena de Trabajo",553612,2025/10/11,1704000,4,"Mail Invalido!"
"Diego Carrasco Tamayo",7870590,6,diego8131@tourket.ceele,Diegotamayo,5FJKatIJ,"+56 2 0629 4039",1583,62794,"Cena de Trabajo",553644,2025-01-14,448000,4,"Mail Invalido!"
"Ester Mendoza Sisneros",27846054,1,Estersisneros@viajesanma.ceele,esmesi,jvNJU3Da1,"+56 2 1365 0193",5753,61737,"Salida con Familia",553646,2025-12-20,-58000,1,"Mail Invalido!"
"Ángela Cantú Casillas",1.470.406,0,Oencaca@wass.ceele,Ángelacasillas,1caEwpUPG8qt,"+56 9 6277 4970",8242,69699,"Salida con Amigos",553677,2025-06-04,-2331000,9,"Mail Invalido!"
,1.470.406,,Oencaca@wass.com,Ángelacasillas,1caEwpUPG8qt,+56-9-6277-4970,8242,,,,2025-02-09,1503000,9,"Campo vacio"
"Sra. Guillermina Rentería Fuentes",3.055.936,3,Sra.fuentes@viajesanma.ceele,srgurefu,bsQuex4Eq,"+56 9 5571 5037",2688,65706,"Cena de Trabajo",553689,2025-01-02,-1800000,5,"Mail Invalido!"
,,4,Oenlamo@wass.com,,66nvofnHC,,9971,,"Cena de Trabajo",553702,2025-01-12,264000,3,"Campo vacio"
"Arturo Guajardo Calderón",22690539,1,arturo6055@edubus.ceele,arguca,D7TWrVLprJ2sDYo,"+56 9 9687 5914",7683,71869,"Salida con Amigos",553722,2025-01-28,147000,3,"Mail Invalido!"
,,0,,,UEpMI0cM,"+56 9 1500 7598",2109,65759,,553731,2025-07-17,61000,1,"Campo vacio"
,29780780,,ClementecastaO�eda@outluc.com,,ki8nzDYQjSyPR0,+56-2-6383-8402,3611,,Aniversario,553756,,249000,3,"Campo vacio"
,20773326,1,Alfonsotorres@marmol.com,,jCq4QJ0AqtVZ,+56-2-5808-6338,4407,64180,,553760,,,5,"Campo vacio"
"Sr. Marcos Lucio Yáñez",16083527,3,srmaluyOe@edubus.ceele,sr.9603,EPGYHnFcAe5w3vk,"+56 2 3764 9950",5647,69945,Vacaciones,553769,2025-12-16,446000,2,"Mail Invalido!"
"Adela Duran Maestas",11.361.845,0,Adelamaestas@@outluc.com,adela9609,R7x0KnuEi8lBJywn,"+56 9 9815 6105",9239,68965,Vacaciones,553770,2025-04-04,132000,1,"Mail Invalido!"
